,Name,Chain,Category,Locked (USD),1 Day %
87,Impermax,Ethereum,Lending,$5.2M,2.62%
88,Nsure Network,Ethereum,Derivatives,$4.8M,6.70%
89,Tranche,Ethereum,Derivatives,$4.5M,7.64%
90,cvault.finance,Ethereum,Assets,$4.2M,2.78%
91,Crypto Volatility Index,Ethereum,Derivatives,$3.7M,19.69%
92,C.R.E.A.M. Swap,Ethereum,DEXes,$3.4M,1.26%
93,Opium Network,Ethereum,Derivatives,$2.6M,3.65%
94,Augur,Ethereum,Derivatives,$2.0M,4.44%
95,MCDEX,Ethereum,Derivatives,$2.0M,4.96%
96,Auctus,Ethereum,Derivatives,$1.7M,1.12%
97,PieDAO,Ethereum,Assets,$1.6M,2.15%
98,Futureswap,Ethereum,Derivatives,$1.2M,0.75%
99,Snowswap,Ethereum,DEXes,$979.4K,-7.31%
100,Cover Protocol,Ethereum,Derivatives,$840.7K,-0.29%
101,DeFiner,Ethereum,Lending,$823.7K,-7.01%
102,ForTube,Ethereum,Lending,$706.3K,3.47%
103,PEAKDEFI,Ethereum,Assets,$685.1K,-0.17%
104,DEXTF,Ethereum,Assets,$681.9K,2.26%
105,Value DeFi,Ethereum,Assets,$681.1K,2.60%
106,Varen,Ethereum,DEXes,$641.5K,-1.34%
107,Value Liquid,Ethereum,DEXes,$411.8K,-0.61%
108,DFI.money,Ethereum,Assets,$405.9K,0.16%
109,Primitive,Ethereum,Derivatives,$396.3K,4.90%
110,S Finance,Ethereum,DEXes,$363.6K,-0.47%
111,QIAN,Ethereum,Lending,$229.2K,0.48%
112,UniTrade,Ethereum,DEXes,$208.3K,4.33%
113,Premia,Ethereum,Derivatives,$14.8K,7.97%
114,RAY,Ethereum,Lending,$13.1K,2.52%
115,Connext,Ethereum,Payments,-,-
,TVL,,,$73.18B,
