,Name,Chain,Category,Locked (USD),1 Day %
38,BarnBridge,Ethereum,Derivatives,$68.3M,0.66%
39,Metronome,Ethereum,Assets,$68.2M,5.62%
40,1inch Liquidity Protocol,Ethereum,DEXes,$62.2M,11.02%
41,yAxis,Ethereum,Assets,$62.1M,0.33%
42,mStable,Ethereum,Assets,$54.4M,1.03%
43,Lightning Network,Bitcoin,Payments,$54.1M,3.55%
44,DeFi Swap,Ethereum,DEXes,$52.9M,3.99%
45,Saddle,Ethereum,DEXes,$49.2M,2.68%
46,HEGIC,Ethereum,Derivatives,$46.9M,5.31%
47,Opyn,Ethereum,Derivatives,$39.6M,29.50%
48,bZx,Ethereum,Lending,$39.1M,10.94%
49,88mph,Ethereum,Lending,$37.9M,2.53%
50,Ribbon Finance,Ethereum,Derivatives,$33.9M,5.52%
51,DODO,Ethereum,DEXes,$32.9M,-0.57%
52,DerivaDEX,Ethereum,Derivatives,$31.9M,-1.51%
53,BiFi,Ethereum,Lending,$28.2M,4.92%
54,KeeperDAO,Ethereum,Lending,$27.2M,3.37%
55,Enzyme Finance,Ethereum,Assets,$27.1M,8.26%
56,Pickle Finance,Ethereum,Assets,$25.9M,4.76%
57,Gnosis,Ethereum,DEXes,$25.6M,5.60%
58,Inverse,Ethereum,Assets,$24.9M,3.90%
59,Bella Flex Saving,Ethereum,Assets,$24.0M,2.41%
60,WePiggy,Ethereum,Lending,$23.4M,4.47%
61,dHEDGE,Ethereum,Assets,$22.7M,4.31%
62,Swerve Finance,Ethereum,DEXes,$21.5M,0.75%
63,DeversiFi,Ethereum,DEXes,$20.9M,-5.22%
64,Futureswap,Ethereum,Derivatives,$19.0M,2.00%
65,Notional,Ethereum,Lending,$18.2M,3.42%
66,OnX Finance,Ethereum,Lending,$17.6M,7.75%
67,Olympus,Ethereum,Assets,$16.1M,1.91%
68,Erasure,Ethereum,Derivatives,$15.7M,5.68%
69,IDEX,Ethereum,DEXes,$14.1M,4.38%
70,Impermax,Ethereum,Lending,$14.0M,7.50%
71,Shell,Ethereum,DEXes,$12.1M,1.62%
72,Cryptex,Ethereum,Derivatives,$11.1M,4.61%
73,Kyber,Ethereum,DEXes,$9.7M,6.23%
74,Mushrooms Finance,Ethereum,Assets,$9.6M,3.44%
75,PowerIndex,Ethereum,DEXes,$9.4M,7.98%
76,Siren,Ethereum,Derivatives,$9.0M,3.56%
77,dForce,Ethereum,Assets,$9.0M,0.50%
78,DDEX,Ethereum,Lending,$8.4M,4.81%
79,Nsure Network,Ethereum,Derivatives,$7.0M,1.73%
80,PerlinX,Ethereum,Derivatives,$4.9M,7.76%
81,Warp Finance,Ethereum,Lending,$4.9M,2.14%
82,DEXTF,Ethereum,Assets,$3.9M,6.66%
83,cvault.finance,Ethereum,Assets,$3.6M,4.26%
84,Augur,Ethereum,Derivatives,$3.5M,5.84%
85,C.R.E.A.M. Swap,Ethereum,DEXes,$3.4M,5.10%
86,Value DeFi,Ethereum,Assets,$3.2M,4.03%
87,Cover Protocol,Ethereum,Derivatives,$3.2M,0.61%
88,Auctus,Ethereum,Derivatives,$3.0M,7.07%
89,Snowswap,Ethereum,DEXes,$2.9M,4.53%
90,ForTube,Ethereum,Lending,$2.3M,0.11%
91,PieDAO,Ethereum,Assets,$2.1M,5.65%
92,MCDEX,Ethereum,Derivatives,$2.0M,6.33%
93,Opium Network,Ethereum,Derivatives,$1.9M,5.03%
94,LINKSWAP,Ethereum,DEXes,$1.6M,4.69%
95,S Finance,Ethereum,DEXes,$924.6K,0.75%
96,PEAKDEFI,Ethereum,Assets,$675.4K,0.94%
97,Value Liquid,Ethereum,DEXes,$646.7K,2.80%
98,DeFiner,Ethereum,Lending,$615.3K,0.53%
99,Primitive,Ethereum,Derivatives,$467.8K,4.94%
100,DFI.money,Ethereum,Assets,$433.0K,1.28%
101,QIAN,Ethereum,Lending,$242.1K,0.49%
102,UniTrade,Ethereum,DEXes,$106.6K,3.20%
103,RAY,Ethereum,Lending,$14.0K,2.96%
104,Connext,Ethereum,Payments,-,-
,TVL,,,$67.98B,
